Listing_web_id,URL,Reason_of_rejection
RLMX-00382001230973,http://localhost:8000/realty-mx/e4h73/00382001230973,none
RLMX-00382001231593,http://localhost:8000/realty-mx/cDafV/00382001231593,none
RLMX-00382001178440,none,"Agent Not Exist"
RLMX-00382001231409,none,"Agent Not Exist"
RLMX-00382001231568,http://localhost:8000/realty-mx/cFYAg/00382001231568,none
RLMX-00382001230289,none,"Agent Not Exist"
RLMX-00382001231473,none,"Agent Not Exist"
RLMX-00382001231561,none,"Agent Not Exist"
RLMX-00382001231560,http://localhost:8000/realty-mx/sMIci/00382001231560,none
RLMX-00382001231456,none,"Agent Not Exist"
RLMX-00382001231457,none,"Agent Not Exist"
RLMX-00382001230782,none,"Agent Not Exist"
RLMX-00382001231549,none,"Agent Not Exist"
RLMX-00382001230581,none,"Agent Not Exist"
RLMX-00382001231416,none,"Agent Not Exist"
RLMX-00382001229835,none,"Agent Not Exist"
RLMX-00382001230467,none,"Agent Not Exist"
RLMX-00382001181476,none,"Agent Not Exist"
RLMX-00382001231368,none,"Agent Not Exist"
RLMX-00382001231417,none,"Agent Not Exist"
RLMX-00382001231546,none,"Agent Not Exist"
RLMX-00382001231548,none,"Agent Not Exist"
RLMX-00382001231194,none,"Agent Not Exist"
RLMX-00382001230974,none,"Agent Not Exist"
RLMX-00382001231419,none,"Agent Not Exist"
RLMX-00382001231421,none,"Agent Not Exist"
RLMX-00382001231485,none,"Agent Not Exist"
RLMX-00382001231497,none,"Agent Not Exist"
RLMX-00382001231544,none,"Agent Not Exist"
RLMX-00382001231544,none,"Agent Not Exist"
RLMX-00382001231085,none,"Agent Not Exist"
RLMX-00382001231463,none,"Agent Not Exist"
RLMX-00382001230089,none,"Agent Not Exist"
RLMX-00382001231021,none,"Agent Not Exist"
RLMX-00382001231509,none,"Agent Not Exist"
RLMX-00382001231532,none,"Agent Not Exist"
RLMX-00382001231531,none,"Agent Not Exist"
RLMX-00382001231111,none,"Agent Not Exist"
RLMX-00382001231374,none,"Agent Not Exist"
RLMX-00382001231182,none,"Agent Not Exist"
RLMX-00382001231381,none,"Agent Not Exist"
RLMX-00382001228042,none,"Agent Not Exist"
RLMX-00382001231455,none,"Agent Not Exist"
RLMX-00382001231204,none,"Agent Not Exist"
RLMX-00382001231363,none,"Agent Not Exist"
RLMX-00382001231494,none,"Agent Not Exist"
RLMX-00382001229341,none,"Agent Not Exist"
RLMX-00382001231523,none,"Agent Not Exist"
RLMX-00382001230941,none,"Agent Not Exist"
RLMX-00382001231354,none,"Agent Not Exist"
RLMX-00382001230976,none,"Agent Not Exist"
RLMX-00382001230976,none,"Agent Not Exist"
RLMX-00382001206851,none,"Agent Not Exist"
RLMX-00382001206851,none,"Agent Not Exist"
RLMX-00382001230252,none,"Agent Not Exist"
RLMX-00382001230588,none,"Agent Not Exist"
RLMX-00382004231507,none,"Agent Not Exist"
RLMX-00382001231495,none,"Agent Not Exist"
RLMX-00382001231510,none,"Agent Not Exist"
RLMX-00382001231508,none,"Agent Not Exist"
RLMX-00382001223038,none,"Agent Not Exist"
RLMX-00382001231360,none,"Agent Not Exist"
RLMX-00382001231496,none,"Agent Not Exist"
RLMX-00382001230176,none,"Agent Not Exist"
RLMX-00382001231412,none,"Agent Not Exist"
RLMX-00382001231443,none,"Agent Not Exist"
RLMX-00382001231031,none,"Agent Not Exist"
RLMX-00382001231498,none,"Agent Not Exist"
RLMX-00382001231422,none,"Agent Not Exist"
RLMX-00382001231458,none,"Agent Not Exist"
RLMX-00382001231173,none,"Agent Not Exist"
RLMX-00382001230179,none,"Agent Not Exist"
RLMX-00382001231439,none,"Agent Not Exist"
RLMX-00382001231231,none,"Agent Not Exist"
RLMX-00382001231220,none,"Agent Not Exist"
RLMX-00382001231450,none,"Agent Not Exist"
RLMX-00382001231450,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001231071,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230507,none,"Agent Not Exist"
RLMX-00382001230605,none,"Agent Not Exist"
RLMX-00382001230605,none,"Agent Not Exist"
RLMX-00382001230695,none,"Agent Not Exist"
RLMX-00382001231459,none,"Agent Not Exist"
RLMX-00382001231471,none,"Agent Not Exist"
RLMX-00382001231039,none,"Agent Not Exist"
RLMX-00382001231376,none,"Agent Not Exist"
RLMX-00382001231223,none,"Agent Not Exist"
RLMX-00382001231232,none,"Agent Not Exist"
RLMX-00382001231449,none,"Agent Not Exist"
RLMX-00382001231081,none,"Agent Not Exist"
RLMX-00382001231429,none,"Agent Not Exist"
RLMX-00382001231441,none,"Agent Not Exist"
RLMX-00382001231441,none,"Agent Not Exist"
RLMX-00382001231441,none,"Agent Not Exist"
RLMX-00382001231441,none,"Agent Not Exist"
RLMX-00382001231442,none,"Agent Not Exist"
RLMX-00382001231454,none,"Agent Not Exist"
RLMX-00382001231453,none,"Agent Not Exist"
RLMX-00382001231447,none,"Agent Not Exist"
RLMX-00382001230181,none,"Agent Not Exist"
RLMX-00382001231331,none,"Agent Not Exist"
RLMX-00382001231445,none,"Agent Not Exist"
RLMX-00382001231383,none,"Agent Not Exist"
RLMX-00382001231414,none,"Agent Not Exist"
RLMX-00382001231415,none,"Agent Not Exist"
RLMX-00382001230037,none,"Agent Not Exist"
RLMX-00382001231330,none,"Agent Not Exist"
RLMX-00382001231430,none,"Agent Not Exist"
RLMX-00382001231431,none,"Agent Not Exist"
RLMX-00382001230702,none,"Agent Not Exist"
RLMX-00382001223840,none,"Agent Not Exist"
RLMX-00382001231420,none,"Agent Not Exist"
RLMX-00382001207074,none,"Agent Not Exist"
RLMX-00382001207074,none,"Agent Not Exist"
RLMX-00382001231406,none,"Agent Not Exist"
RLMX-00382001231406,none,"Agent Not Exist"
RLMX-00382001231181,none,"Agent Not Exist"
RLMX-00382001231205,none,"Agent Not Exist"
RLMX-00382001231205,none,"Agent Not Exist"
RLMX-00382001231205,none,"Agent Not Exist"
RLMX-00382001231186,none,"Agent Not Exist"
RLMX-00382001231358,none,"Agent Not Exist"
RLMX-00382001231373,none,"Agent Not Exist"
RLMX-00382001230949,none,"Agent Not Exist"
RLMX-00382001231091,none,"Agent Not Exist"
RLMX-00382001229834,none,"Agent Not Exist"
RLMX-00382001227992,none,"Agent Not Exist"
RLMX-00382001230657,none,"Agent Not Exist"
RLMX-00382001229515,none,"Agent Not Exist"
RLMX-00382001231180,none,"Agent Not Exist"
RLMX-00382001231339,none,"Agent Not Exist"
RLMX-00382001231339,none,"Agent Not Exist"
RLMX-00382001231121,none,"Agent Not Exist"
RLMX-00382001231121,none,"Agent Not Exist"
RLMX-00382001230096,none,"Agent Not Exist"
RLMX-00382001230096,none,"Agent Not Exist"
RLMX-00382001230096,none,"Agent Not Exist"
RLMX-00382001229106,none,"Agent Not Exist"
RLMX-00382001229106,none,"Agent Not Exist"
RLMX-00382001230105,none,"Agent Not Exist"
RLMX-00382001230547,none,"Agent Not Exist"
RLMX-00382001230023,none,"Agent Not Exist"
RLMX-00382001230025,none,"Agent Not Exist"
RLMX-00382001227618,none,"Agent Not Exist"
RLMX-00382001230900,none,"Agent Not Exist"
RLMX-00382001230658,none,"Agent Not Exist"
RLMX-00382001231086,none,"Agent Not Exist"
RLMX-00382001227036,none,"Agent Not Exist"
RLMX-00382001230604,none,"Agent Not Exist"
RLMX-00382001230158,none,"Agent Not Exist"
RLMX-00382001230975,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001230937,none,"Agent Not Exist"
RLMX-00382001228298,none,"Agent Not Exist"
RLMX-00382001228298,none,"Agent Not Exist"
RLMX-00382001228298,none,"Agent Not Exist"
RLMX-00382001228298,none,"Agent Not Exist"
RLMX-00382001228298,none,"Agent Not Exist"
RLMX-00382001230652,none,"Agent Not Exist"
RLMX-00382001230652,none,"Agent Not Exist"
RLMX-00382001230582,none,"Agent Not Exist"
RLMX-00382001230757,none,"Agent Not Exist"
RLMX-00382001230596,none,"Agent Not Exist"
RLMX-00382001229587,none,"Agent Not Exist"
RLMX-00382001229587,none,"Agent Not Exist"
RLMX-00382001222446,none,"Agent Not Exist"
RLMX-00382001229992,none,"Agent Not Exist"
RLMX-00382001229992,none,"Agent Not Exist"
RLMX-00382001230466,none,"Agent Not Exist"
RLMX-00382001230466,none,"Agent Not Exist"
RLMX-00382001230466,none,"Agent Not Exist"
RLMX-00382001230466,none,"Agent Not Exist"
RLMX-00382001230466,none,"Agent Not Exist"
RLMX-00382001227089,none,"Agent Not Exist"
RLMX-00382001227089,none,"Agent Not Exist"
RLMX-00382001227089,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,none,"Agent Not Exist"
RLMX-00382001230086,http://localhost:8000/realty-mx/7CuZQ/00382001230086,none
RLMX-00382001229109,none,"Agent Not Exist"
RLMX-00382001222657,none,"Agent Not Exist"
RLMX-00382001228958,none,"Agent Not Exist"
RLMX-00382001225381,none,"Agent Not Exist"
RLMX-00382001213344,http://localhost:8000/realty-mx/hdR7k/00382001213344,none
